Model version,ECI Score,Release date,Organization,Country,Model accessibility,Training compute (FLOP),Confidence,Model name,Description,Display name
deepseek-v4-pro-0813_unknown,,2026-08-13,DeepSeek,China,Open weights (unrestricted),9.702e+24,Unverified,DeepSeek V4 Pro 0813,,DeepSeek V4 Pro 0813 (unknown)
muse-spark-1.2,,2026-08-05,Meta AI,United States of America,API access,,Confident,Muse Spark 1.2,,Muse Spark 1.2
mimo-v2.5-pro,,,Xiaomi Corp,China,Open weights (unrestricted),6.804e+24,Likely,MiMo-V2.5-Pro,,
mimo-v2.5,,,Xiaomi Corp,China,Open weights (unrestricted),4.32e+24,Unverified,MiMo-V2.5,,
qwen3.8-27b,,2026-08-14,Alibaba,China,Open weights (unrestricted),,Confident,Qwen 3.8 27B,,Qwen3.8 27B
gemini-3.5-flash-lite,145.11,2026-07-21,Google DeepMind,United States of America,API access,,Confident,Gemini 3.5 Flash-Lite,,Gemini 3.5 Flash-Lite
inkling-small,150.17,2026-07-15,Thinking Machines,United States of America,Open weights (unrestricted),,Confident,Inkling-Small,,Inkling Small
grok-4-1-fast-reasoning,,2025-11-19,xAI,United States of America,API access,,Unknown,Grok 4.1 Fast,,
nemotron-3-ultra,143.02,2026-06-04,NVIDIA,United States of America,Open weights (unrestricted),6.6e+24,Likely,Nemotron 3 Ultra,,
laguna-xs.2,,2026-04-28,Poolside,United States of America,Open weights (unrestricted),,Unverified,Laguna XS.2,,Laguna XS.2
Qwen-1_8B,,2023-11-30,,,,,Unverified,,Qwen's 1.8 billion-parameter model in the original Qwen series.,Qwen-1.8B
Qwen-7B,105.93,2023-09-28,Alibaba,China,Open weights (restricted use),1.01e+23,Confident,Qwen-7B,Qwen's 7 billion-parameter model in the original Qwen series.,
Qwen-14B,112.3,2023-09-28,Alibaba,China,Open weights (restricted use),2.5e+23,Confident,Qwen-14B,Qwen's 14 billion-parameter model in the original Qwen series.,
Mistral-7B-Instruct-v0.2,,2023-12-11,Mistral AI,France,Open weights (unrestricted),,Confident,Mistral 7B,,
gpt-3.5-turbo-0613,112.63,2023-06-13,OpenAI,United States of America,API access,,Likely,GPT-3.5 Turbo,,GPT-3.5 Turbo (June 2023)
mpt-30b-instruct,99.62,2023-06-22,MosaicML,United States of America,Open weights (unrestricted),1.8900000000001e+23,Confident,MPT-30B,,
vicuna-13b-v1.3,,2023-06-18,"Large Model Systems Organization,University of California (UC) Berkeley",United States of America,Open weights (restricted use),,Confident,Vicuna-13B-v1.3,,
mpt-30b,99.62,2023-06-22,MosaicML,United States of America,Open weights (unrestricted),1.8900000000001e+23,Confident,MPT-30B,,
Phi-3.5-mini-instruct,,2024-08-16,Microsoft,United States of America,Open weights (unrestricted),3.7101154e+22,Confident,Phi-3.5-mini,"An instruction-tuned version of phi-3.5-mini, a small model in Microsoft's Phi 3.5 open source model series.",
Phi-3.5-MoE-instruct,,2024-08-17,Microsoft,United States of America,Open weights (unrestricted),3.0202896e+23,Confident,Phi-3.5-MoE,,
Mistral-Nemo-Base-2407,118.02,2024-07-18,Mistral AI,France,Open weights (unrestricted),,Confident,Mistral NeMo,,
gemma-2-9b,119.24,,Google DeepMind,United States of America,Open weights (restricted use),4.32e+23,Confident,Gemma 2 9B,A 9 billion-parameter open source model from Google DeepMind in the Gemma 2 series.,
Llama-2-34b,104.28,2023-07-18,Meta AI,United States of America,Unreleased,4.08e+23,Confident,Llama 2-34B,Meta's 34 billion-parameter model in the Llama 2 series.,
Chinchilla (70B),,2022-03-29,DeepMind,United Kingdom of Great Britain and Northern Ireland,Unreleased,5.76e+23,Confident,Chinchilla,,
PaLM 62B,,2022-04-04,,,,,Unverified,,Google's 62 billion-parameter model in the PaLM series.,
Inflection-1,,2023-06-22,Inflection AI,United States of America,Hosted access (no API),1.0001e+24,Speculative,Inflection-1,,
gpt-5.4-nano-2026-03-17_xhigh,146.23,2026-03-17,OpenAI,United States of America,API access,,Likely,GPT-5.4 Nano,,GPT-5.4 nano (xhigh)
deepseek-v4-flash_max,,2026-04-24,DeepSeek,China,Open weights (unrestricted),2.496e+24,Likely,DeepSeek-V4-Flash,,DeepSeek v4 Flash (max)
gemini-3.1-flash-lite,145.01,2026-03-03,Google,United States of America,API access,,Likely,Gemini 3.1 Flash-Lite,,Gemini 3.1 Flash-Lite
gemma-4-26b-a4b,,2026-04-02,Google DeepMind,United States of America,Open weights (unrestricted),,Confident,Gemma 4 26B A4B,,Gemma 4 26B A4B
qwen3.5-9B,,2026-02-24,Alibaba,China,Open weights (restricted use),,Confident,Qwen3.5-9B,,Qwen3.5 9B
mimo-v2-flash,,,Xiaomi Corp,China,Open weights (unrestricted),2.43e+24,Likely,MiMo-V2-Flash,,
gpt-5-mini-2025-08-07_unknown,145.83,2025-08-07,OpenAI,United States of America,API access,,Unknown,GPT-5 mini,"A smaller version of OpenAI's latest flagship frontier model, benchmarked using high reasoning effort.",GPT-5 mini (unknown thinking)
nova-2.0-pro-preview_medium,,2025-12-02,Amazon,United States of America,API access,,Confident,Nova 2.0 Pro Preview,,Nova 2.0 Pro Preview (medium)
Ring-2.6-1T,,2026-05-14,Ant Group,China,Open weights (unrestricted),,Speculative,Ring-2.6-1T,,Ring-2.6-1T
qwen/qwen3-235b-a22b-thinking-2507,144.67,2025-07-25,Alibaba,China,Open weights (unrestricted),4.752e+24,Likely,Qwen3-235B-A22B (Jul 2025),,Qwen3-235B-A22B-Thinking-2507
cogito-671b-v2.1,,2025-11-19,Deep Cogito,,Open weights (unrestricted),,Confident,Cogito v2.1,,Cogito v2.1 (671B)
step-3.7-flash,,2026-05-29,StepFun,China,Open weights (unrestricted),,Confident,Step 3.7 Flash,,Step 3.7 Flash
magistral-medium-2509,,2025-09-18,Mistral AI,France,API access,,Unknown,Magistral Medium 1.2,,Magistral Medium 1.2
mercury-2,,,Inception Labs,United States of America,API access,,Unverified,Mercury 2,,Mercury 2
command-a-plus-05-2026,,2026-05-20,"Cohere,Cohere Labs (formerly Cohere for AI)",Canada,Open weights (unrestricted),,Confident,Command A+,,Command A+
mistral-large-2512,,2025-12-02,Mistral AI,France,Open weights (unrestricted),,Confident,Mistral Large 3,,Mistral Large 3
nemotron-3-super,,2026-03-11,NVIDIA,United States of America,Open weights (unrestricted),,Likely,Nemotron 3 Super,,Nemotron 3 Super
magistral-small-2509,,2025-09-18,Mistral AI,France,Open weights (unrestricted),,Confident,Magistral Small 1.2,,Magistral Small 1.2
mistral-medium-2508,,2025-08-12,,,,,Unverified,,,
qwen3-coder-next,,2026-02-02,,,,,Unverified,,,
devstral-small-2512,,2025-12-09,Mistral AI,France,Open weights (unrestricted),,Confident,Devstral Small 2,,Devstral Small 2
nova-2.0-pro-preview_none,,2025-12-02,Amazon,United States of America,API access,,Confident,Nova 2.0 Pro Preview,,Nova 2.0 Pro Preview (none)
mistral-small-2506,,2025-06-20,Mistral AI,France,Open weights (unrestricted),,Confident,Mistral Small 3.2,,Mistral Small 3.2
granite-4.1-30b,,2026-04-29,IBM,United States of America,Open weights (unrestricted),2.7e+24,Likely,Granite 4.1 30B,,Granite 4.1 30B
solar-pro-3,,2026-01-27,Upstage,Korea (Republic of),API access,,Confident,Solar Pro 3,,Solar Pro 3
gemma-3-12b-it,,2025-03-12,Google DeepMind,United States of America,Open weights (restricted use),8.64e+23,Confident,Gemma 3 12B,An instruction-tuned version of the 12 billion-parameter model Google DeepMind's Gemma 3 series.,
Phi-4-mini-instruct,,2025-02-27,Microsoft,United States of America,Open weights (unrestricted),9.9561596e+22,Confident,Phi-4 Mini,"A small version of Microsoft's Phi-4-mini, a small model in their open source Phi 4 series.",
deepseek-v4-flash_high,,2026-04-24,DeepSeek,China,Open weights (unrestricted),2.496e+24,Likely,DeepSeek-V4-Flash,,DeepSeek v4 Flash (high)
DeepSeek-V3.1-Terminus,,2025-09-22,DeepSeek,China,Open weights (unrestricted),3.594058e+24,Likely,DeepSeek-V3.1-Terminus,,DeepSeek-V3.1-Terminus
nova-2.0-pro-preview_low,,2025-12-02,Amazon,United States of America,API access,,Confident,Nova 2.0 Pro Preview,,Nova 2.0 Pro Preview (low)
glm-4.6,141.15,2025-09-30,"Z.ai (Zhipu AI),Tsinghua University",China,Open weights (unrestricted),4.42e+24,Likely,GLM-4.6,,GLM-4.6
openai/gpt-oss-120b_low,140.54,2025-08-05,OpenAI,United States of America,Open weights (unrestricted),4.94e+24,Confident,gpt-oss-120b,,gpt-oss-120b (low)
claude-opus-4-1-20250805_unknown,144.31,2025-08-05,Anthropic,United States of America,API access,,Unknown,Claude Opus 4.1,"Anthropic’s largest flagship model, benchmarked with up to 27,000 reasoning tokens.",Claude Opus 4.1 (unknown thinking)
o4-mini-2025-04-16_unknown,146.32,2025-04-16,OpenAI,United States of America,API access,,Unknown,o4-mini,"The latest smaller size o-series reasoning model from OpenAI, evaluated with high reasoning effort.",o4-mini (unknown thinking)
grok-4-20,152.07,2026-02-17,xAI,United States of America,API access,,Likely,Grok 4.20,,
grok-4-fast,144.45,2025-09-19,xAI,United States of America,API access,,Unknown,Grok 4 Fast,,
grok-4-3,149.16,2026-04-17,xAI,United States of America,Hosted access (no API),,Likely,Grok 4.3 Beta,,
claude-sonnet-5_16K,155.9,2026-06-30,Anthropic,United States of America,API access,,Confident,Claude Sonnet 5,,Claude Sonnet 5 (16k thinking)
Kimi-K2-Instruct-0905,,2025-09-05,Moonshot,China,Open weights (restricted use),2.976e+24,Confident,Kimi K2,,
o3-mini-2025-01-31_unknown,141.36,2025-01-31,OpenAI,United States of America,API access,,Unknown,o3-mini,"A smaller version of OpenAI's o3 reasoning model, evaluated with high reasoning effort.",o3-mini (unknown thinking)
claude-opus-4-8_24K,157.78,2026-05-28,Anthropic,United States of America,API access,,Confident,Claude Opus 4.8,,Claude Opus 4.8 (24k thinking)
gpt-5-nano-2025-08-07_unknown,140.98,2025-08-07,OpenAI,United States of America,API access,,Unknown,GPT-5 nano,"The smallest version of OpenAI's latest flagship frontier model, benchmarked using high reasoning effort.",GPT-5 nano (unknown thinking)
QwQ-32B-Preview,,2024-11-28,Alibaba,China,Open weights (unrestricted),3.51e+24,Speculative,QwQ-32B,,
DeepSeek-V3.1,,2025-08-21,DeepSeek,China,Open weights (unrestricted),3.594058e+24,Confident,DeepSeek-V3.1,An updated version of DeepSeek V3.,
qwen1.5-110b-chat,,2024-04-25,Alibaba,China,Open weights (unrestricted),,Confident,Qwen1.5-110B,,
gpt-5.4-nano-2026-03-17_unknown,146.23,2026-03-17,OpenAI,United States of America,API access,,Likely,GPT-5.4 Nano,,GPT-5.4 nano (unknown thinking)
Meta-Llama-3-70B,122.31,2024-04-18,Meta AI,United States of America,Open weights (restricted use),7.861e+24,Confident,Llama 3-70B,Meta's 70 billion-parameter model in the Llama 3 series.,
gemini-2.0-flash-lite-001,,2025-02-25,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.0 Flash-Lite,The first version of the smallest model in Google DeepMind's Gemini 2.0 series.,
Mixtral-8x22B-Instruct-v0.1,120.96,2024-04-17,Mistral AI,France,Open weights (unrestricted),2.34e+24,Speculative,Mixtral 8x22B,An instruction-tuned version of Mistral's 8 billion active (176 billion total)-parameter mixture-of-experts model,
deepseek-v4-pro_unknown,149.49,2026-04-24,DeepSeek,China,Open weights (unrestricted),9.702e+24,Likely,DeepSeek-V4-Pro,,DeepSeek v4 Pro (unknown thinking)
Meta-Llama-3-8B,116.02,2024-04-18,Meta AI,United States of America,Open weights (restricted use),7.2e+23,Confident,Llama 3-8B,Meta's 8 billion-parameter model in the Llama 3 series.,
computer-use-preview-2025-03-11,,2025-03-11,,,,,Unverified,,,
Qwen2.5-VL-72B-Instruct,128.79,2024-09-19,Alibaba,China,Open weights (unrestricted),7.8e+24,Confident,Qwen2.5-72B,A 72 billion-parameter instruction-tuned vision language model in the Qwen 2.5 series.,
gpt-5.5-pro_high,161.73,2026-04-23,OpenAI,United States of America,API access,,Likely,GPT-5.5 Pro,,GPT-5.5 Pro (high)
gemini-3-deep-think-preview,,2026-02-12,,,,,Unverified,,,
deepseek-v4-pro-0813_low,,2026-08-13,DeepSeek,China,Open weights (unrestricted),9.702e+24,Unverified,DeepSeek V4 Pro 0813,,DeepSeek V4 Pro 0813 (low)
grok-4.5_medium,153.94,2026-07-08,xAI,United States of America,API access,,Likely,Grok 4.5,,Grok 4.5 (medium)
deepseek-v4-pro-0813_high,,2026-08-13,DeepSeek,China,Open weights (unrestricted),9.702e+24,Unverified,DeepSeek V4 Pro 0813,,DeepSeek V4 Pro 0813 (high)
deepseek-v4-flash-0731_high,154.43,2026-07-31,DeepSeek,China,Open weights (unrestricted),2.496e+24,Likely,DeepSeek V4 Flash 0731,,DeepSeek V4 Flash 0731 (high)
gpt-5.2-pro-2025-12-11_high,155.09,2025-12-11,OpenAI,United States of America,API access,,Likely,GPT-5.2 Pro,,GPT-5.2 Pro
deepseek-v4-flash-0731_low,154.43,2026-07-31,DeepSeek,China,Open weights (unrestricted),2.496e+24,Likely,DeepSeek V4 Flash 0731,,DeepSeek V4 Flash 0731 (low)
gpt-5.2-pro-2025-12-11_medium,155.09,2025-12-11,OpenAI,United States of America,API access,,Likely,GPT-5.2 Pro,,GPT-5.2 Pro
claude-opus-4-5-20251101_64K,149.93,2025-11-24,Anthropic,United States of America,API access,,Unknown,Claude Opus 4.5,,Claude Opus 4.5 (64k thinking)
grok-4.5_low,153.94,2026-07-08,xAI,United States of America,API access,,Likely,Grok 4.5,,Grok 4.5 (low)
inkling-small_high,150.17,2026-07-15,Thinking Machines,United States of America,Open weights (unrestricted),,Confident,Inkling-Small,,Inkling Small (high)
gpt-5-pro-2025-10-06_unknown,150.27,2025-10-07,OpenAI,United States of America,API access,,Unknown,GPT-5 Pro,,GPT-5 Pro
inkling-small_medium,150.17,2026-07-15,Thinking Machines,United States of America,Open weights (unrestricted),,Confident,Inkling-Small,,Inkling Small (medium)
claude-opus-4-5-20251101_8K,149.93,2025-11-24,Anthropic,United States of America,API access,,Unknown,Claude Opus 4.5,,Claude Opus 4.5 (8k thinking)
deepseek/deepseek-v3.2,146.38,2025-12-01,DeepSeek,China,Open weights (unrestricted),4.1999999999999997e+24,Likely,DeepSeek-V3.2,,DeepSeek-V3.2 (Thinking; Novita)
inkling-small_low,150.17,2026-07-15,Thinking Machines,United States of America,Open weights (unrestricted),,Confident,Inkling-Small,,Inkling Small (low)
inkling-small_minimal,150.17,2026-07-15,Thinking Machines,United States of America,Open weights (unrestricted),,Confident,Inkling-Small,,Inkling Small (minimal)
claude-sonnet-4-5-20250929_8K,146.86,2025-09-29,Anthropic,United States of America,API access,,Unknown,Claude Sonnet 4.5,,Claude Sonnet 4.5 (8k thinking)
o3-pro-2025-06-10_low,147.44,2025-06-10,OpenAI,United States of America,API access,,Unknown,o3-pro,"An enhanced version of OpenAI's previous flagship reasoning model o3, evaluated with low reasoning effort.",
gemini-2.5-pro_16K,145.79,2025-06-17,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.5 Pro (Jun 2025),"Google’s general-purpose frontier reasoning model, evaluated with up to 16,000 reasoning tokens.",
gpt-5.4-mini-2026-03-17_medium,149.29,2026-03-17,OpenAI,United States of America,API access,,Likely,GPT-5.4 Mini,,GPT-5.4 mini (medium)
tiny-recursion-model,,2025-10-06,,,,,Unverified,,,
claude-haiku-4-5-20251001_16K,142.86,2025-10-15,Anthropic,United States of America,API access,,Unknown,Claude Haiku 4.5,,
gemini-2.5-pro_32K,145.79,2025-06-17,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.5 Pro (Jun 2025),"Google’s general-purpose frontier reasoning model, evaluated with up to 32,000 reasoning tokens.",
gemini-2.5-flash-preview-05-20_16K,142.17,2025-05-20,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.5 Flash,"An April 2025 preview version of Gemini 2.5 Flash, a small reasoning model in the Gemini 2.5 series from DeepMind, evaluated with up to 16,000 reasoning tokens.",
gpt-5.4-nano-2026-03-17_medium,146.23,2026-03-17,OpenAI,United States of America,API access,,Likely,GPT-5.4 Nano,,GPT-5.4 nano (medium)
gemini-3.5-flash-lite_medium,145.11,2026-07-21,Google DeepMind,United States of America,API access,,Confident,Gemini 3.5 Flash-Lite,,Gemini 3.5 Flash-Lite (medium)
gemini-2.5-pro-preview-06-05_1K,145.79,2025-06-05,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.5 Pro (Jun 2025),"A June 2025 preview version of Gemini 2.5 Pro, Google DeepMind's flagship frontier model, evaluated with up to 1,000 reasoning tokens.",Gemini 2.5 Pro Preview (Jun 2025)
claude-sonnet-4-5-20250929_1K,146.86,2025-09-29,Anthropic,United States of America,API access,,Unknown,Claude Sonnet 4.5,,Claude Sonnet 4.5 (1k thinking)
claude-opus-4-20250514_8K,142.92,2025-05-22,Anthropic,United States of America,API access,,Unknown,Claude Opus 4,"Anthropic's largest model in the Claude 4 series (superseded by Claude Opus 4.1), benchmarked with up to 8,000 reasoning tokens.",Claude Opus 4
gemini-2.5-pro_8K,145.79,2025-06-17,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.5 Pro (Jun 2025),"Google’s general-purpose frontier reasoning model, evaluated with up to 8,000 reasoning tokens.",
claude-sonnet-4-20250514_8K,142.2,2025-05-22,Anthropic,United States of America,API access,,Unknown,Claude Sonnet 4,,
claude-sonnet-4-20250514_1K,142.2,2025-05-22,Anthropic,United States of America,API access,,Unknown,Claude Sonnet 4,"Anthropic's mid-sized Claude 4 series model, evaluated at up to 1,000 reasoning tokens.",
codex-mini-2025-05-16,,2025-05-16,,,,,Unverified,,,
claude-opus-4-20250514_1K,142.92,2025-05-22,Anthropic,United States of America,API access,,Unknown,Claude Opus 4,"Anthropic's largest model in the Claude 4 series (superseded by Claude Opus 4.1), benchmarked with up to 1,000 reasoning tokens.",Claude Opus 4
gemini-2.5-flash-preview-05-20_8K,142.17,2025-05-20,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.5 Flash,"An April 2025 preview version of Gemini 2.5 Flash, a small reasoning model in the Gemini 2.5 series from DeepMind, evaluated with up to 8,000 reasoning tokens.",
claude-haiku-4-5-20251001_8K,142.86,2025-10-15,Anthropic,United States of America,API access,,Unknown,Claude Haiku 4.5,,
o1-pro-2025-03-19_low,,2025-03-19,OpenAI,United States of America,API access,,Likely,o1-pro,"An An enhanced version of OpenAI's first reasoning model,o1, evaluated with low reasoning effort.",o1 Pro (low)
claude-3-7-sonnet-20250219_8K,141.67,2025-02-24,Anthropic,United States of America,API access,3.3499999999999998e+25,Likely,Claude 3.7 Sonnet,"A previous flagship reasoning model from Anthropic, benchmarked with up to 9,000 reasoning tokens allowed.",Claude 3.7 Sonnet (8k thinking)
claude-haiku-4-5-20251001_1K,142.86,2025-10-15,Anthropic,United States of America,API access,,Unknown,Claude Haiku 4.5,,
grok-3-mini_low,140.91,2025-06-24,xAI,United States of America,API access,,Unknown,Grok-3 mini,,Grok 3 mini
gemini-2.5-flash-preview-05-20_1K,142.17,2025-05-20,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.5 Flash,"An April 2025 preview version of Gemini 2.5 Flash, a small reasoning model in the Gemini 2.5 series from DeepMind, evaluated with up to 1,000 reasoning tokens.",
gpt-5.4-mini-2026-03-17_low,149.29,2026-03-17,OpenAI,United States of America,API access,,Likely,GPT-5.4 Mini,,GPT-5.4 mini (low)
deepseek-v4-pro-0813_none,,2026-08-13,DeepSeek,China,Open weights (unrestricted),9.702e+24,Unverified,DeepSeek V4 Pro 0813,,DeepSeek V4 Pro 0813 (none)
deepseek-v4-flash-0731_none,154.43,2026-07-31,DeepSeek,China,Open weights (unrestricted),2.496e+24,Likely,DeepSeek V4 Flash 0731,,DeepSeek V4 Flash 0731 (none)
claude-3-7-sonnet-20250219_1K,141.67,2025-02-24,Anthropic,United States of America,API access,3.3499999999999998e+25,Likely,Claude 3.7 Sonnet,"A previous flagship reasoning model from Anthropic, benchmarked with up to 1,000 reasoning tokens allowed.",Claude 3.7 Sonnet (1k thinking)
magistral-medium-2506,,2025-06-10,Mistral AI,France,API access,,Unknown,Magistral Medium 1.1,,
grok-3,138.92,2025-04-09,xAI,United States of America,API access,3.5000000000000006e+26,Likely,Grok 3,XAI's third generation flagship model.,
inkling-small_none,150.17,2026-07-15,Thinking Machines,United States of America,Open weights (unrestricted),,Confident,Inkling-Small,,Inkling Small (none)
gemini-2.0-flash-lite,,2025-02-05,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.0 Flash-Lite,The smallest model in Google DeepMind's Gemini 2.0 series.,
gemini-2.0-flash-lite-preview-02-05,,2025-02-05,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.0 Flash-Lite,A February 2025 preview version of the smallest model in Google DeepMind's Gemini 2.0 series.,
Dracarys2-72B-Instruct,,2024-09-30,,,,,Unverified,,,
learnlm-1.5-pro-experimental,,,,,,,Unverified,,,
sonar,,,,,,,Unverified,,,Perplexity Sonar
Dracarys2-Llama-3.1-70B-Instruct,,2024-08-14,,,,,Unverified,,,
DeepSeek-R1-Distill-Qwen-32B,,2025-01-20,DeepSeek,China,Open weights (unrestricted),,Speculative,DeepSeek-R1-Distill-Qwen-32B,"A model based on Qwen 32B and additionally trained on outputs from DeepSeek’s R1 model, published as part of DeepSeek R1’s release. ",
amazon.nova-lite-v1:0,,2024-12-03,Amazon,United States of America,API access,,Unknown,Amazon Nova Lite,,
c4ai-command-r-plus-08-2024,,2024-08-30,"Cohere,Cohere Labs (formerly Cohere for AI)",Canada,Open weights (non-commercial),,Confident,Command R+,,
amazon.nova-micro-v1:0,,2024-12-03,Amazon,United States of America,API access,,Unknown,Amazon Nova Micro,,
c4ai-command-r-08-2024,,2024-08-30,,,,,Unverified,,,
OLMo-2-1124-13B-Instruct,,2024-12-31,"Allen Institute for AI,University of Washington,New York University (NYU)",United States of America,Open weights (unrestricted),4.6e+23,Confident,OLMo 2 Furious 13B,,
claude-instant-1.1,120.79,,Anthropic,United States of America,API access,,Unknown,Claude Instant,,
claude-1.3,,2023-04-18,Anthropic,United States of America,API access,,Unknown,Claude 1.3,An updated version of Anthropic's first generation Claude model.,
claude-instant-1.2,120.79,2023-08-09,Anthropic,United States of America,API access,,Unknown,Claude Instant,,
gpt-5.3-codex_xhigh,155.61,2026-02-05,OpenAI,United States of America,API access,,Likely,GPT-5.3 Codex,,GPT-5.3 Codex (xhigh)
glm-5.3_high,,2026-08-14,Z.ai (Zhipu AI),China,API access,,Confident,GLM-5.3,,GLM-5.3 (high)
gpt-5.1-codex,,2025-11-12,OpenAI,United States of America,API access,,Unknown,GPT-5.1-Codex,,GPT-5.1 Codex
mimo-v2-pro,,,Xiaomi Corp,China,API access,,Confident,MiMo-V2-Pro,,
grok-code-fast-1,,2025-08-28,,,,,Unverified,,,
gpt-oss-20b,136.65,2025-08-05,OpenAI,United States of America,Open weights (unrestricted),5.49e+23,Confident,gpt-oss-20b,The smaller one of OpenAI's two latest open source language models.,
mistral-small-2603,,2026-03-16,Mistral AI,France,Open weights (unrestricted),,Confident,Mistral Small 4,,Mistral Small 4
qwen3-coder-plus,,2025-09-23,,,,,Unverified,,,
qwen3.5-27B,,2026-02-24,Alibaba,China,Open weights (restricted use),,Confident,Qwen3.5-27B,,Qwen3.5 27B
gemini-2.5-flash-lite-preview-06-17-thinking,,2025-06-17,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.5 Flash-Lite,A June 2025 preview of Gemini 2.5 Flash Lite.,gemini-2.5-flash-lite-preview-06-17 (Default thinking length)
deepseek-v4-flash_none,,2026-04-24,DeepSeek,China,Open weights (unrestricted),2.496e+24,Likely,DeepSeek-V4-Flash,,DeepSeek v4 Flash (high)
codestral-2508,,2025-07-30,Mistral AI,France,Open weights (non-commercial),,Confident,Codestral,A January 2025 version of a 2024 coding-optimized model from Mistral.,
glm-4.5_thinking,,2025-08-05,"Z.ai (Zhipu AI),Tsinghua University",China,Open weights (unrestricted),4.42e+24,Confident,GLM-4.5,,GLM-4.5 Thinking
gpt-5-pro-2025-10-06_medium,150.27,2025-10-07,OpenAI,United States of America,API access,,Unknown,GPT-5 Pro,,GPT-5 Pro
video-SALMONN-2plus,,2025-06-18,ByteDance,China,,,Likely,video-SALMONN 2+,,
gemini-1.5-pro-001-feb24,,2024-02-15,Google DeepMind,United States of America,API access,,Speculative,Gemini 1.5 Pro,"The first of two versions of a previous flagship model from Google DeepMind, Gemini 1.5 Pro.",
InternVL2_5-78B,,2024-12-06,"Shanghai AI Lab,SenseTime,Tsinghua University,Nanjing University,Fudan University,Chinese University of Hong Kong (CUHK),Shanghai Jiao Tong University","Hong Kong,China",Open weights (restricted use),,Confident,InternVL2_5-78B,,
Qwen2-VL-72B-Instruct,,2024-08-29,,,,,Unverified,,A 72 billion-parameter instruction-tuned vision language model in Qwen's Qwen 2 series.,
LLaVA-Video-72B-Qwen2,,2024-09-02,,,,,Unverified,,,
LinVT,,2024-12-06,,,,,Unverified,,,
Aria,,2024-09-30,,,,,Unverified,,,
ViLAMP-llava-qwen,,2025-05-01,,,,,Unverified,,,
Oryx-1.5-32B,,2024-10-22,,,,,Unverified,,,
LLaVA-OneVision 72B,,2024-08-06,,,,,Unverified,,,
VideoLLAMA3-7B,,2024-01-22,,,,,Unverified,,,
LLaVA-Video-7B-Qwen2,,2024-09-02,,,,,Unverified,,,
LLaVA-Video-7B-Qwen2-TPO,,2025-01-19,,,,,Unverified,,,
VideoChat-Flash-Qwen2-7B_res448,,2025-01-11,,,,,Unverified,,,
ByteVideoLLM-14B,,2024-10-13,,,,,Unverified,,,
NVILA-8B,,2024-12-10,"NVIDIA,Massachusetts Institute of Technology (MIT),University of California (UC) Berkeley,University of California San Diego,University of Washington,Tsinghua University","United States of America,China",Open weights (non-commercial),2.2794518e+21,Likely,NVILA 8B,,
LiveCC-7B-Instruct,,2024-04-12,,,,,Unverified,,,
Qwen2-VL-7B-Instruct,,2024-08-29,,,,,Unverified,,A 7 billion-parameter instruction-tuned vision language model in Qwen's Qwen 2 series.,
MiniCPM-o-2_6,,2025-01-12,,,,,Unverified,,,
VideoLLAMA2-7B,,2024-06-12,,,,,Unverified,,,
InternVL2-40B,,2024-07-08,Shanghai AI Lab,China,Open weights (unrestricted),,Confident,InternVL2-40B,,
MiniCPM-V-2_6,,2024-08-03,,,,,Unverified,,,
gpt-4-1106-vision-preview,,2023-11-06,OpenAI,United States of America,API access,,Unknown,GPT-4V,,
mPLUG-Owl3-7B-241101,,2024-11-26,,,,,Unverified,,,
TimeMarker,,2024-11-27,,,,,Unverified,,,
VITA-1.5,,2024-12-20,,,,,Unverified,,,
kangaroo,,2024-11-13,,,,,Unverified,,,
VITA,,2024-08-12,,,,,Unverified,,,
Video-XL-7B,,2024-10-17,,,,,Unverified,,,
Video-CCAM-7B-v1.2,,2024-09-29,,,,,Unverified,,,
long-llava-qwen2-7b,,2024-08-30,,,,,Unverified,,,
LongVA-7B,,2024-06-13,,,,,Unverified,,,
Qwen-VL-Max,,2024-01-18,,,,,Unverified,,,
InternVL-Chat-V1-5,,2024-04-18,,,,,Unverified,,,
SliME-Llama3-8B,,2024-06-02,,,,,Unverified,,,
Chat-Uni-Vi-7B-v1.5 + 100k SG-WV,,2024-06-20,,,,,Unverified,,,
Chat-UniVi-7B-v1.5 ,,2024-04-23,,,,,Unverified,,,
sharegpt4video-8b,,2024-05-27,,,,,Unverified,,,
Video-LLaVA-7B,,2023-11-17,,,,,Unverified,,,
video_chat2_mistral,,2023-11-29,,,,,Unverified,,,
ST-LLM,,2024-03-28,,,,,Unverified,,,
gpt-5-codex_high,,2025-09-15,OpenAI,United States of America,API access,,Unknown,GPT-5-Codex,,GPT-5-codex (high)
grok-4-1,,2025-11-17,xAI,United States of America,API access,,Unknown,Grok 4.1,,
